task,shell,seed,op,t_param,t_init,n_nodes,mae,aurc,train_mae,const_mae,beats_const,valid,monotone,loss_thirds,t_learned,params,epochs,n_train,n_eval,hidden,n_layers,secs,device,seam,ppr_alpha,sgc_k,dtype,const_aurc,ppr_k
hops,s3168,0,ppr,softplus,0.5,3168,0.17751566751825587,0.24509823032512898,0.17751566819714926,0.1775131322700618,False,True,True,"[0.05124, 0.04525, 0.04496]",[],3301,1000,8,6,32,4,36.9,cuda,keep,0.01,8,float32,0.24503996099980466,0
hops,s3168,1,ppr,softplus,0.5,3168,0.170310394534283,0.23680145998473637,0.17031039018066357,0.17751313254600928,True,False,False,"[0.04838, 0.04389, 0.04596]",[],3301,1000,8,6,32,4,35.4,cuda,keep,0.01,8,float32,0.24503996733854405,0
hops,s3168,2,ppr,softplus,0.5,3168,0.17670616089218993,0.24404231562334677,0.17670616099723813,0.17751313199411436,True,False,False,"[0.04747, 0.04534, 0.04552]",[],3301,1000,8,6,32,4,35.3,cuda,keep,0.01,8,float32,0.2450399546610653,0
hops,s3168,3,ppr,softplus,0.5,3168,0.17751313258363843,0.2450399750677922,0.17751313300069535,0.1775131328219567,True,False,False,"[0.04647, 0.04455, 0.04587]",[],3301,1000,8,6,32,4,35.2,cuda,keep,0.01,8,float32,0.24503997367728345,0
hops,s3168,4,ppr,softplus,0.5,3168,0.17751313530548354,0.24504003072593794,0.17751313530548354,0.17751313227006182,False,False,False,"[0.04785, 0.04503, 0.0474]",[],3301,1000,8,6,32,4,35.3,cuda,keep,0.01,8,float32,0.24503996099980466,0
hops,s3168,5,ppr,softplus,0.5,3168,0.13403876523898053,0.1629239158567822,0.13403886060390358,0.17751313254600923,True,True,True,"[0.04913, 0.04556, 0.03985]",[],3301,1000,8,6,32,4,35.4,cuda,keep,0.01,8,float32,0.24503996733854405,0
hops,s3168,6,ppr,softplus,0.5,3168,0.1770169490741359,0.23212456640638401,0.17701694723265715,0.17751313199411436,True,False,False,"[0.04799, 0.0443, 0.04692]",[],3301,1000,8,6,32,4,35.4,cuda,keep,0.01,8,float32,0.2450399546610653,0
hops,s3168,7,ppr,softplus,0.5,3168,0.1775131329850165,0.2450399731570432,0.17751313248329392,0.17751313254600923,False,False,True,"[0.04721, 0.04631, 0.04568]",[],3301,1000,8,6,32,4,35.4,cuda,keep,0.01,8,float32,0.24503996733854405,0
hops,s3168,8,ppr,softplus,0.5,3168,0.1775032453872389,0.2449580287497708,0.1775032459908739,0.17751313199411436,True,False,True,"[0.04918, 0.04532, 0.04531]",[],3301,1000,8,6,32,4,35.5,cuda,keep,0.01,8,float32,0.2450399546610653,0
hops,s3168,9,ppr,softplus,0.5,3168,0.2848109601517067,0.17270057692694493,0.2848109629785999,0.17751313199411436,False,True,True,"[0.04755, 0.04546, 0.04135]",[],3301,1000,8,6,32,4,35.4,cuda,keep,0.01,8,float32,0.2450399546610653,0
delay,s3168,0,ppr,softplus,0.5,3168,0.1715633255439953,0.22950224152960377,0.16972293886985168,0.17132890445224533,False,False,False,"[0.04864, 0.04238, 0.04326]",[],3301,1000,8,6,32,4,36.3,cuda,keep,0.01,8,float32,0.2290273921377387,0
delay,s3168,1,ppr,softplus,0.5,3168,0.1667779568212949,0.23040675652345652,0.17317394635223665,0.16584156552513496,False,True,True,"[0.04688, 0.04319, 0.04198]",[],3301,1000,8,6,32,4,35.2,cuda,keep,0.01,8,float32,0.22160523053980408,0
delay,s3168,2,ppr,softplus,0.5,3168,0.17027995244875047,0.2271225612088689,0.16902634028835994,0.16977395215020782,False,False,False,"[0.0444, 0.04224, 0.04226]",[],3301,1000,8,6,32,4,31.2,cuda,keep,0.01,8,float32,0.22787955396072127,0
delay,s3168,3,ppr,softplus,0.5,3168,0.16736847918676814,0.22748953245395112,0.16962070794967313,0.166839625445786,False,False,False,"[0.04353, 0.04216, 0.04232]",[],3301,1000,8,6,32,4,36.4,cuda,keep,0.01,8,float32,0.2234006155660965,0
delay,s3168,4,ppr,softplus,0.5,3168,0.1682294449947895,0.22291307441862654,0.16546568623993832,0.16887261622057373,True,False,False,"[0.04389, 0.04085, 0.04163]",[],3301,1000,8,6,32,4,36.3,cuda,keep,0.01,8,float32,0.22600552994472356,0
delay,s3168,5,ppr,softplus,0.5,3168,0.16213618364569812,0.213820352584001,0.1540129869504796,0.17610110356471453,True,True,True,"[0.04646, 0.04254, 0.04137]",[],3301,1000,8,6,32,4,36.4,cuda,keep,0.01,8,float32,0.2365409157401118,0
delay,s3168,6,ppr,softplus,0.5,3168,0.1681632782038229,0.223047999441191,0.16647462368097757,0.16982241262550865,True,False,True,"[0.04483, 0.04235, 0.04183]",[],3301,1000,8,6,32,4,29.4,cuda,keep,0.01,8,float32,0.2280319209424341,0
delay,s3168,7,ppr,softplus,0.5,3168,0.16786024729315166,0.2296703958173808,0.17136035715215847,0.1677615015280687,False,False,False,"[0.04516, 0.04286, 0.04366]",[],3301,1000,8,6,32,4,27.9,cuda,keep,0.01,8,float32,0.2246330159342994,0
delay,s3168,8,ppr,softplus,0.5,3168,0.17170488044212107,0.2392033891124318,0.17272952199206396,0.17050358094005516,False,False,False,"[0.04735, 0.04337, 0.0439]",[],3301,1000,8,6,32,4,34.9,cuda,keep,0.01,8,float32,0.2284529758199344,0
delay,s3168,9,ppr,softplus,0.5,3168,0.15977644871837837,0.2131633722451061,0.16070252464167867,0.1699008036630525,True,False,True,"[0.04533, 0.04331, 0.04177]",[],3301,1000,8,6,32,4,36.4,cuda,keep,0.01,8,float32,0.22819271723378212,0
hops,s1584,0,ppr,softplus,0.5,1584,0.20184178780670267,0.2584292472242903,0.20184178735515235,0.20184178746803996,False,False,False,"[0.06139, 0.05454, 0.05588]",[],3301,1000,8,6,32,4,30.4,cuda,keep,0.01,8,float32,0.25842925074459583,0
hops,s1584,1,ppr,softplus,0.5,1584,0.20184202796249626,0.2584290591711499,0.2018420271895299,0.20184178746803996,False,False,False,"[0.0585, 0.05487, 0.05585]",[],3301,1000,8,6,32,4,30.4,cuda,keep,0.01,8,float32,0.25842925074459583,0
hops,s1584,2,ppr,softplus,0.5,1584,0.0655813885724128,0.08878157322410236,0.0655813856494867,0.20184178746803996,True,True,True,"[0.05762, 0.04897, 0.01233]",[],3301,1000,8,6,32,4,30.3,cuda,keep,0.01,8,float32,0.25842925074459583,0
hops,s1584,3,ppr,softplus,0.5,1584,0.20182978864665133,0.25881039395407845,0.20182978864665133,0.20184178746803996,True,False,True,"[0.05657, 0.05474, 0.05473]",[],3301,1000,8,6,32,4,30.5,cuda,keep,0.01,8,float32,0.25842925714778586,0
hops,s1584,4,ppr,softplus,0.5,1584,0.20128184114034084,0.2576251869209694,0.20128184046615102,0.20184178746803996,True,False,False,"[0.05795, 0.054, 0.05571]",[],3301,1000,8,6,32,4,29.7,cuda,keep,0.01,8,float32,0.25842925074459583,0
