task,shell,seed,op,t_param,t_init,n_nodes,mae,aurc,train_mae,const_mae,beats_const,valid,monotone,loss_thirds,t_learned,params,epochs,n_train,n_eval,hidden,n_layers,secs,device,seam,ppr_alpha,sgc_k,dtype,const_aurc,ppr_k
hops,s3168,0,sgc,softplus,0.5,3168,0.15967903568359212,0.23222963349055106,0.15967903809088066,0.1775131322700618,True,True,True,"[0.05108, 0.0438, 0.03908]",[],3301,1000,8,6,32,4,27.2,cuda,keep,0.05,8,float32,0.24503996099980466,20
hops,s3168,1,sgc,softplus,0.5,3168,0.16286595424900602,0.232721129248628,0.162865954625004,0.17751313254600928,True,False,False,"[0.04825, 0.04109, 0.04219]",[],3301,1000,8,6,32,4,26.2,cuda,keep,0.05,8,float32,0.24503996733854405,20
hops,s3168,2,sgc,softplus,0.5,3168,0.16787936698617126,0.23402263795576758,0.16787936713139648,0.17751313199411436,True,True,True,"[0.04742, 0.04374, 0.03849]",[],3301,1000,8,6,32,4,31.5,cuda,keep,0.05,8,float32,0.2450399546610653,20
hops,s3168,3,sgc,softplus,0.5,3168,0.15452549099135887,0.2260632007977583,0.15452548456416498,0.1775131328219567,True,True,True,"[0.04638, 0.04376, 0.03765]",[],3301,1000,8,6,32,4,35.1,cuda,keep,0.05,8,float32,0.24503997367728345,20
hops,s3168,4,sgc,softplus,0.5,3168,0.15926502424669342,0.22964318891281787,0.1592650234352649,0.17751313227006182,True,True,True,"[0.04772, 0.0418, 0.03872]",[],3301,1000,8,6,32,4,35.1,cuda,keep,0.05,8,float32,0.24503996099980466,20
hops,s3168,5,sgc,softplus,0.5,3168,0.16375366787101622,0.2279334488414929,0.16375367022666262,0.17751313254600923,True,True,True,"[0.04908, 0.04487, 0.04023]",[],3301,1000,8,6,32,4,35.1,cuda,keep,0.05,8,float32,0.24503996733854405,20
hops,s3168,6,sgc,softplus,0.5,3168,0.15409000283569688,0.23221257683916985,0.15409000175052576,0.17751313199411436,True,True,True,"[0.04791, 0.0418, 0.03737]",[],3301,1000,8,6,32,4,35.1,cuda,keep,0.05,8,float32,0.2450399546610653,20
hops,s3168,7,sgc,softplus,0.5,3168,0.177513983015987,0.2448701881443569,0.177513983015987,0.17751313254600923,False,False,False,"[0.04691, 0.04488, 0.04735]",[],3301,1000,8,6,32,4,35.1,cuda,keep,0.05,8,float32,0.24503996733854405,20
hops,s3168,8,sgc,softplus,0.5,3168,0.1627962783371766,0.23374951626626028,0.1627962783939144,0.17751313199411436,True,True,True,"[0.04905, 0.04206, 0.03879]",[],3301,1000,8,6,32,4,35.2,cuda,keep,0.05,8,float32,0.2450399546610653,20
hops,s3168,9,sgc,softplus,0.5,3168,0.15699634835459542,0.20794012726628985,0.15699634731234513,0.17751313199411436,True,True,True,"[0.0475, 0.04185, 0.04003]",[],3301,1000,8,6,32,4,35.1,cuda,keep,0.05,8,float32,0.2450399546610653,20
delay,s3168,0,sgc,softplus,0.5,3168,0.16903940950740234,0.19711215390691914,0.16711421017246933,0.17132890445224533,True,True,True,"[0.04846, 0.04034, 0.03645]",[],3301,1000,8,6,32,4,36.2,cuda,keep,0.05,8,float32,0.2290273921377387,20
delay,s3168,1,sgc,softplus,0.5,3168,0.15914427852134616,0.20886300976738856,0.1677348422632312,0.16584156552513496,True,True,True,"[0.0467, 0.04214, 0.03912]",[],3301,1000,8,6,32,4,36.3,cuda,keep,0.05,8,float32,0.22160523053980408,20
delay,s3168,2,sgc,softplus,0.5,3168,0.14878665982740294,0.20893482687900414,0.14727042215504252,0.16977395215020782,True,True,True,"[0.04435, 0.04058, 0.03531]",[],3301,1000,8,6,32,4,36.2,cuda,keep,0.05,8,float32,0.22787955396072127,20
delay,s3168,3,sgc,softplus,0.5,3168,0.14129330154304723,0.21414246180130203,0.1438881131284826,0.166839625445786,True,True,True,"[0.04344, 0.03929, 0.03375]",[],3301,1000,8,6,32,4,36.2,cuda,keep,0.05,8,float32,0.2234006155660965,20
delay,s3168,4,sgc,softplus,0.5,3168,0.1503951376350479,0.21037308840817145,0.14727938311386762,0.16887261622057373,True,True,True,"[0.04376, 0.0386, 0.03513]",[],3301,1000,8,6,32,4,36.3,cuda,keep,0.05,8,float32,0.22600552994472356,20
delay,s3168,5,sgc,softplus,0.5,3168,0.15253201468728336,0.23835896304798176,0.1474222513197582,0.17610110356471453,True,True,True,"[0.0464, 0.04157, 0.03487]",[],3301,1000,8,6,32,4,36.2,cuda,keep,0.05,8,float32,0.2365409157401118,20
delay,s3168,6,sgc,softplus,0.5,3168,0.1508740064751134,0.21236201228792614,0.14882437430916445,0.16982241262550865,True,True,True,"[0.04372, 0.03463, 0.03316]",[],3301,1000,8,6,32,4,34.5,cuda,keep,0.05,8,float32,0.2280319209424341,20
delay,s3168,7,sgc,softplus,0.5,3168,0.17068318338392094,0.24653059255438067,0.17309564638873615,0.1677615015280687,False,False,False,"[0.04453, 0.04166, 0.04329]",[],3301,1000,8,6,32,4,35.5,cuda,keep,0.05,8,float32,0.2246330159342994,20
delay,s3168,8,sgc,softplus,0.5,3168,0.17537053292116458,0.17211880286129158,0.17739033317690947,0.17050358094005516,False,True,True,"[0.04726, 0.04295, 0.0407]",[],3301,1000,8,6,32,4,36.2,cuda,keep,0.05,8,float32,0.2284529758199344,20
delay,s3168,9,sgc,softplus,0.5,3168,0.16159182925292515,0.2744426356179504,0.1624672858849564,0.1699008036630525,True,True,True,"[0.04528, 0.04154, 0.03687]",[],3301,1000,8,6,32,4,36.0,cuda,keep,0.05,8,float32,0.22819271723378212,20
hops,s1584,0,sgc,softplus,0.5,1584,0.1494584176626671,0.21437717997574,0.1494584182568948,0.20184178746803996,True,True,True,"[0.06109, 0.04671, 0.03923]",[],3301,1000,8,6,32,4,29.5,cuda,keep,0.05,8,float32,0.25842925074459583,20
hops,s1584,1,sgc,softplus,0.5,1584,0.15377214167036604,0.21936056827442893,0.15377214083076465,0.20184178746803996,True,True,True,"[0.0578, 0.05043, 0.03872]",[],3301,1000,8,6,32,4,29.7,cuda,keep,0.05,8,float32,0.25842925074459583,20
hops,s1584,2,sgc,softplus,0.5,1584,0.20326754332736433,0.2605002779392506,0.2032675429416651,0.20184178746803996,False,True,True,"[0.05566, 0.04707, 0.04579]",[],3301,1000,8,6,32,4,29.8,cuda,keep,0.05,8,float32,0.25842925074459583,20
hops,s1584,3,sgc,softplus,0.5,1584,0.3950193225341827,0.5987182137977534,0.3950193227101776,0.20184178746803996,False,True,True,"[0.05652, 0.05013, 0.03947]",[],3301,1000,8,6,32,4,29.9,cuda,keep,0.05,8,float32,0.25842925714778586,20
hops,s1584,4,sgc,softplus,0.5,1584,0.20251763293908454,0.27361500275609935,0.20251763290302321,0.20184178746803996,False,True,True,"[0.05746, 0.04162, 0.04052]",[],3301,1000,8,6,32,4,29.8,cuda,keep,0.05,8,float32,0.25842925074459583,20
hops,s1584,5,sgc,softplus,0.5,1584,0.16169051734200657,0.2312472322852203,0.1616905161169019,0.20184178746803996,True,True,True,"[0.05923, 0.04875, 0.03773]",[],3301,1000,8,6,32,4,29.9,cuda,keep,0.05,8,float32,0.25842925074459583,20
hops,s1584,6,sgc,softplus,0.5,1584,0.1520152237410939,0.2137238616786752,0.15201522498050557,0.20184178746803996,True,False,False,"[0.0578, 0.04118, 0.04211]",[],3301,1000,8,6,32,4,29.9,cuda,keep,0.05,8,float32,0.25842925074459583,20
