task,shell,seed,op,t_param,t_init,n_nodes,mae,aurc,train_mae,const_mae,beats_const,valid,monotone,loss_thirds,t_learned,params,epochs,n_train,n_eval,hidden,n_layers,secs,device
hops,s3168,0,gcn,relu,2.0,3168,0.17547341418665793,0.25497489406832125,0.1754734145560904,0.1775131322700618,True,True,True,"[0.05112, 0.04482, 0.04445]",[],3301,1000,8,6,32,4,64.9,cuda
hops,s3168,0,heat,relu,2.0,3168,0.174808070599807,0.23829859404387563,0.17480806929689613,0.1775131322700618,True,True,True,"[0.05106, 0.04404, 0.0375]","[14.0215, -0.1667, -0.1505, -0.1506]",3301,1000,8,6,32,4,112.4,cuda
hops,s3168,0,qw,relu,2.0,3168,0.17764574341062042,0.24200714802265555,0.17764574265333288,0.1775131322700618,False,True,True,"[0.05106, 0.04286, 0.04239]","[2.5184, 4.7252, 2.0246, 3.5325]",3301,1000,8,6,32,4,237.8,cuda
hops,s3168,1,gcn,relu,2.0,3168,0.17174666056014373,0.2410939394742576,0.171746660569845,0.17751313254600928,True,True,True,"[0.04847, 0.04475, 0.04295]",[],3301,1000,8,6,32,4,52.2,cuda
hops,s3168,1,heat,relu,2.0,3168,0.1289400286245025,0.23656350332515727,0.12894003606205007,0.17751313254600928,True,True,True,"[0.04823, 0.0433, 0.03604]","[13.4004, -0.0987, -0.164, -0.1658]",3301,1000,8,6,32,4,111.6,cuda
hops,s3168,1,qw,relu,2.0,3168,0.17980033802401638,0.2190285057290431,0.17980033796365288,0.17751313254600928,False,True,True,"[0.04824, 0.04132, 0.02414]","[2.794, 0.0008, -0.1814, 5.7384]",3301,1000,8,6,32,4,236.7,cuda
hops,s3168,2,gcn,relu,2.0,3168,0.1720622528378886,0.2412574420490363,0.17206225298213387,0.17751313199411436,True,False,True,"[0.04741, 0.04483, 0.04308]",[],3301,1000,8,6,32,4,56.2,cuda
hops,s3168,2,heat,relu,2.0,3168,0.2008789224927988,0.17019851086255347,0.20087892103398153,0.17751313199411436,False,True,True,"[0.04741, 0.0425, 0.04054]","[12.5115, -0.1797, -0.189, -0.189]",3301,1000,8,6,32,4,111.6,cuda
hops,s3168,2,qw,relu,2.0,3168,0.17721424933510396,0.24491895649080309,0.1772142490771872,0.17751313199411436,True,False,False,"[0.04741, 0.0441, 0.0467]","[0.9612, 3.2786, 2.5938, -0.0661]",3301,1000,8,6,32,4,236.7,cuda
hops,s3168,3,gcn,relu,2.0,3168,0.17249167920717412,0.24208247550275439,0.17249167935024345,0.1775131328219567,True,False,True,"[0.04643, 0.04499, 0.04329]",[],3301,1000,8,6,32,4,56.2,cuda
