task,shell,seed,op,t_param,t_init,n_nodes,mae,aurc,train_mae,const_mae,beats_const,valid,monotone,loss_thirds,t_learned,params,epochs,n_train,n_eval,hidden,n_layers,secs,device
hops,s4400,0,gcn,softplus,2.0,4400,0.18727057079361242,0.2530495001901643,0.18727057080715892,0.1873957733403553,True,True,True,"[0.07732, 0.0493, 0.04925]",[],3301,200,8,6,32,4,20.1,cuda
hops,s4400,0,heat,softplus,2.0,4400,0.18725008224560455,0.25272737654847455,0.18725008183920927,0.1873957733403553,True,True,True,"[0.07717, 0.0493, 0.04924]","[0.938, 0.3804, 0.3856, 0.3856]",3301,200,8,6,32,4,78.5,cuda
hops,s4400,0,qw,softplus,2.0,4400,0.1872495293176987,0.25272466046279635,0.18724952795796773,0.1873957733403553,True,True,True,"[0.0772, 0.0493, 0.04924]","[0.7254, 0.4663, 0.4719, 0.4724]",3301,200,8,6,32,4,163.9,cuda
hops,s4400,1,gcn,softplus,2.0,4400,0.18695068544397753,0.2505110863386026,0.1869506854648617,0.1873957731416731,True,True,True,"[0.06326, 0.0493, 0.04921]",[],3301,200,8,6,32,4,18.5,cuda
hops,s4400,1,heat,softplus,2.0,4400,0.18725445973489319,0.25271597979478844,0.18725446539084342,0.1873957731416731,True,True,True,"[0.06307, 0.0493, 0.04925]","[0.9189, 0.3916, 0.3904, 0.3905]",3301,200,8,6,32,4,79.1,cuda
hops,s4400,1,qw,softplus,2.0,4400,0.18725306600445146,0.25271427546320463,0.18725306379693474,0.1873957731416731,True,True,True,"[0.0631, 0.0493, 0.04924]","[0.7397, 0.4757, 0.4724, 0.4742]",3301,200,8,6,32,4,165.6,cuda
hops,s4400,2,gcn,softplus,2.0,4400,0.18734049525224802,0.2526943402429427,0.18734049525789237,0.18739577294299095,True,True,True,"[0.05837, 0.04932, 0.0493]",[],3301,200,8,6,32,4,18.4,cuda
hops,s4400,2,heat,softplus,2.0,4400,0.18733295950361273,0.25281979653607417,0.18733296010135247,0.18739577294299095,True,True,True,"[0.05838, 0.04933, 0.0493]","[0.6647, 0.4402, 0.4386, 0.4387]",3301,200,8,6,32,4,80.7,cuda
hops,s4400,2,qw,softplus,2.0,4400,0.18733170548623257,0.25281264633320477,0.18733170639300212,0.18739577294299095,True,True,True,"[0.05839, 0.04933, 0.0493]","[0.6532, 0.4904, 0.4893, 0.4874]",3301,200,8,6,32,4,166.0,cuda
hops,s4400,3,gcn,softplus,2.0,4400,0.18732985124782178,0.2527816037331832,0.18732985123653303,0.18739577334035526,True,False,True,"[0.05352, 0.04932, 0.0493]",[],3301,200,8,6,32,4,18.5,cuda
hops,s4400,3,heat,softplus,2.0,4400,0.18732137723628317,0.252733560903854,0.18732137418352068,0.18739577334035526,True,False,True,"[0.05348, 0.04932, 0.04929]","[0.8986, 0.3827, 0.3787, 0.377]",3301,200,8,6,32,4,80.8,cuda
hops,s4400,3,qw,softplus,2.0,4400,0.18731715564813578,0.2527629425853362,0.18731715360402384,0.18739577334035526,True,False,True,"[0.05348, 0.04932, 0.04929]","[0.7104, 0.4204, 0.4182, 0.4106]",3301,200,8,6,32,4,168.7,cuda
hops,s4400,4,gcn,softplus,2.0,4400,0.1867260279506445,0.2516579937308391,0.1867260279464112,0.18739577353903739,True,True,True,"[0.06039, 0.04919, 0.04898]",[],3301,200,8,6,32,4,18.6,cuda
hops,s4400,4,heat,softplus,2.0,4400,0.1872376477063605,0.2526789343887519,0.18723764599724252,0.18739577353903739,True,True,True,"[0.06046, 0.04929, 0.04923]","[1.9517, 0.3912, 0.3913, 0.3911]",3301,200,8,6,32,4,80.6,cuda
hops,s4400,4,qw,softplus,2.0,4400,0.1872377058807196,0.25267658158185663,0.18723770345476543,0.18739577353903739,True,True,True,"[0.06047, 0.04929, 0.04923]","[1.3209, 0.4968, 0.4972, 0.497]",3301,200,8,6,32,4,170.0,cuda
hops,s4400,5,gcn,softplus,2.0,4400,0.1871873059281797,0.252542825696587,0.18718730593015526,0.1873957731416731,True,True,True,"[0.0663, 0.0493, 0.04921]",[],3301,200,8,6,32,4,18.4,cuda
hops,s4400,5,heat,softplus,2.0,4400,0.18725152805447579,0.2527135415655109,0.1872515282424336,0.1873957731416731,True,True,True,"[0.06666, 0.04933, 0.04929]","[0.5958, 0.4103, 0.371, 0.371]",3301,200,8,6,32,4,80.0,cuda
hops,s4400,5,qw,softplus,2.0,4400,0.18729883325483762,0.25279100899064805,0.18729883517138662,0.1873957731416731,True,True,True,"[0.06666, 0.04933, 0.0493]","[0.686, 0.4443, 0.4454, 0.4449]",3301,200,8,6,32,4,168.6,cuda
hops,s4400,6,gcn,softplus,2.0,4400,0.18714839166312505,0.2558346978609831,0.18714839160611685,0.18739577294299095,True,True,True,"[0.06083, 0.04931, 0.04919]",[],3301,200,8,6,32,4,18.5,cuda
hops,s4400,6,heat,softplus,2.0,4400,0.18723342127194909,0.2526289758902051,0.1872334209905768,0.18739577294299095,True,True,True,"[0.06103, 0.04932, 0.04926]","[2.0931, 0.3677, 0.3657, 0.3651]",3301,200,8,6,32,4,81.2,cuda
hops,s4400,6,qw,softplus,2.0,4400,0.18723967674668088,0.2526095719034857,0.18723967842757702,0.18739577294299095,True,True,True,"[0.06103, 0.04932, 0.04926]","[1.3285, 0.4698, 0.4594, 0.4578]",3301,200,8,6,32,4,167.6,cuda
hops,s4400,7,gcn,softplus,2.0,4400,0.18731223476655556,0.2527738698159312,0.1873122347730466,0.18739577294299095,True,True,True,"[0.0575, 0.04931, 0.04928]",[],3301,200,8,6,32,4,18.4,cuda
hops,s4400,7,heat,softplus,2.0,4400,0.18555756435249793,0.26594669692733447,0.18555756552737546,0.18739577294299095,True,True,True,"[0.05708, 0.04931, 0.04871]","[2.17, 1.0223, 0.9919, 0.5434]",3301,200,8,6,32,4,82.5,cuda
hops,s4400,7,qw,softplus,2.0,4400,0.1872951348859704,0.2527502993326739,0.18729513634673572,0.18739577294299095,True,True,True,"[0.05708, 0.04932, 0.04928]","[0.7357, 0.593, 0.5338, 0.5336]",3301,200,8,6,32,4,170.5,cuda
hops,s4400,8,gcn,softplus,2.0,4400,0.18578722686662028,0.2502367425013415,0.1857872268809429,0.18739577334035526,True,True,True,"[0.06676, 0.04923, 0.04884]",[],3301,200,8,6,32,4,18.4,cuda
hops,s4400,8,heat,softplus,2.0,4400,0.18693743182967107,0.2516622884783271,0.18693743194622747,0.18739577334035526,True,True,True,"[0.06696, 0.04931, 0.04917]","[1.1316, 0.3522, 0.3387, 0.3391]",3301,200,8,6,32,4,81.7,cuda
hops,s4400,8,qw,softplus,2.0,4400,0.1868926930901679,0.25153270125754473,0.18689269536174835,0.18739577334035526,True,True,True,"[0.06696, 0.04931, 0.04914]","[0.8822, 0.6332, 0.5299, 0.5289]",3301,200,8,6,32,4,168.6,cuda
hops,s4400,9,gcn,softplus,2.0,4400,0.18736643930727784,0.2528755886578315,0.18736643930558455,0.18739577334035526,True,True,True,"[0.05878, 0.04934, 0.04933]",[],3301,200,8,6,32,4,18.6,cuda
hops,s4400,9,heat,softplus,2.0,4400,0.1873665330807368,0.2528774539746823,0.18736653264950623,0.18739577334035526,True,True,True,"[0.05878, 0.04934, 0.04933]","[0.8732, 0.7506, 0.745, 0.745]",3301,200,8,6,32,4,81.1,cuda
hops,s4400,9,qw,softplus,2.0,4400,0.18736734407417702,0.25287194646350897,0.1873673448982564,0.18739577334035526,True,True,True,"[0.05875, 0.04934, 0.04933]","[1.4601, 0.9067, 0.9073, 0.9095]",3301,200,8,6,32,4,169.4,cuda
delay,s4400,0,gcn,softplus,2.0,4400,0.16879514193839648,0.22114911171858398,0.16805298533232418,0.1685373764863294,False,True,True,"[0.07259, 0.04198, 0.04192]",[],3301,200,8,6,32,4,20.7,cuda
delay,s4400,0,heat,softplus,2.0,4400,0.16877201422540977,0.22113137970154984,0.1680296096089825,0.1685373764863294,False,True,True,"[0.07243, 0.04198, 0.04191]","[0.8548, 0.364, 0.3695, 0.3695]",3301,200,8,6,32,4,82.7,cuda
delay,s4400,0,qw,softplus,2.0,4400,0.16876890501007438,0.22112559595536183,0.16802640950249043,0.1685373764863294,False,True,True,"[0.07246, 0.04198, 0.04191]","[0.7241, 0.4447, 0.4488, 0.4501]",3301,200,8,6,32,4,171.0,cuda
delay,s4400,1,gcn,softplus,2.0,4400,0.16804644442872482,0.22205786642601366,0.17267629158757203,0.1681745908082336,True,True,True,"[0.0589, 0.04394, 0.04386]",[],3301,200,8,6,32,4,20.5,cuda
delay,s4400,1,heat,softplus,2.0,4400,0.16883441010662917,0.22640517736406873,0.17317491722113282,0.1681745908082336,False,True,True,"[0.05849, 0.04394, 0.04389]","[0.7669, 0.3848, 0.3761, 0.3714]",3301,200,8,6,32,4,81.8,cuda
delay,s4400,1,qw,softplus,2.0,4400,0.16882427926432822,0.22632555567235982,0.17317005100564775,0.1681745908082336,False,True,True,"[0.05872, 0.04394, 0.04388]","[0.7399, 0.4644, 0.4595, 0.4609]",3301,200,8,6,32,4,168.2,cuda
delay,s4400,2,gcn,softplus,2.0,4400,0.16956784974753672,0.22357472334013148,0.1696558415984989,0.16905582442285252,False,True,True,"[0.05255, 0.04259, 0.04257]",[],3301,200,8,6,32,4,20.5,cuda
delay,s4400,2,heat,softplus,2.0,4400,0.1695608508482286,0.22357541367610953,0.16964884055884216,0.16905582442285252,False,True,True,"[0.05265, 0.04259, 0.04257]","[0.6639, 0.4228, 0.4219, 0.422]",3301,200,8,6,32,4,82.6,cuda
delay,s4400,2,qw,softplus,2.0,4400,0.1695494677089543,0.22339405721874392,0.16963773255596276,0.16905582442285252,False,True,True,"[0.05265, 0.0426, 0.04256]","[0.6505, 0.4816, 0.4798, 0.4808]",3301,200,8,6,32,4,170.8,cuda
delay,s4400,3,gcn,softplus,2.0,4400,0.16968120542146745,0.22439524962967872,0.16997458133600463,0.1694270793341848,False,True,True,"[0.04759, 0.04271, 0.04268]",[],3301,200,8,6,32,4,20.8,cuda
delay,s4400,3,heat,softplus,2.0,4400,0.1696712086433333,0.2243911749362347,0.16996462496090153,0.1694270793341848,False,True,True,"[0.04754, 0.04271, 0.04268]","[0.8176, 0.3591, 0.3565, 0.355]",3301,200,8,6,32,4,83.5,cuda
delay,s4400,3,qw,softplus,2.0,4400,0.16966614799450544,0.22437593363971395,0.16995972682475854,0.1694270793341848,False,True,True,"[0.04754, 0.04271, 0.04267]","[0.7044, 0.416, 0.4148, 0.4051]",3301,200,8,6,32,4,170.1,cuda
delay,s4400,4,gcn,softplus,2.0,4400,0.16326501308862743,0.21979766821337066,0.16925910049626097,0.16370655849808827,True,True,True,"[0.05499, 0.04263, 0.04231]",[],3301,200,8,6,32,4,19.8,cuda
delay,s4400,4,heat,softplus,2.0,4400,0.164291840353769,0.2209589080613961,0.17019894856451587,0.16370655849808827,False,True,True,"[0.05524, 0.0428, 0.04274]","[1.4803, 0.3765, 0.3766, 0.3766]",3301,200,8,6,32,4,78.3,cuda
delay,s4400,4,qw,softplus,2.0,4400,0.16428486244026289,0.22094938987872428,0.17019271848215298,0.16370655849808827,False,True,True,"[0.05517, 0.0428, 0.04273]","[1.3166, 0.4843, 0.4843, 0.4839]",3301,200,8,6,32,4,159.4,cuda
